time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
21375,5.731,5.993,6.166,6.256,6.386,6.664,37.196
21500,5.657,5.843,5.934,6.305,6.359,6.734,36.832
21625,5.806,5.768,6.239,6.213,6.41,6.571,37.007
21750,5.874,5.992,6.212,6.282,6.559,6.823,37.742
21875,5.683,6.086,6.151,6.261,6.357,6.657,37.195
22000,5.84,5.884,6.001,6.102,6.478,6.73,37.035
22125,5.839,5.951,6.118,6.251,6.472,6.826,37.457
22250,5.793,5.845,6.107,6.019,6.53,6.748,37.042
22375,5.773,5.743,6.248,6.231,6.463,6.812,37.27
22500,5.652,5.797,6.092,6.407,6.488,6.902,37.338
22625,5.97,5.969,6.124,6.202,5.548,6.842,36.655
22750,5.51,5.719,6.006,6.355,6.296,6.718,36.604
22875,5.595,5.667,5.905,6.295,6.329,6.807,36.598
23000,5.817,5.819,6.115,6.172,6.449,6.769,37.141
23125,5.766,5.64,6.182,6.349,6.558,6.897,37.392
23250,5.621,5.877,6.112,6.248,6.422,6.661,36.941
23375,5.864,5.766,6.089,6.132,6.439,6.716,37.006
23500,5.729,5.814,6.258,6.281,6.521,6.946,37.549
23625,5.575,5.757,6.31,6.28,6.174,6.903,36.999
23750,5.54,5.902,6.084,6.366,6.543,6.553,36.988
23875,5.472,5.898,6.05,6.195,6.331,6.928,36.874
24000,5.64,5.95,5.976,6.112,6.216,6.644,36.538
24125,5.572,5.88,6.0,6.224,6.328,6.906,36.91
24250,5.531,5.838,6.155,6.17,6.304,6.859,36.857
24375,5.575,5.726,5.965,6.35,6.251,6.856,36.723
24500,5.688,5.763,6.033,6.157,6.487,7.08,37.208
24625,5.672,5.756,5.977,6.129,6.395,6.748,36.677
24750,5.53,5.973,6.039,6.255,6.272,6.908,36.977
24875,5.528,5.73,6.24,6.252,6.535,6.844,37.129
25000,5.79,5.763,6.225,6.17,6.27,7.133,37.351
25125,5.654,5.926,6.048,6.247,6.428,6.734,37.037
25250,5.636,5.766,6.024,6.185,6.652,6.916,37.179
25375,5.674,5.728,6.021,6.359,6.351,6.941,37.074
25500,5.728,5.89,6.091,6.286,6.427,6.991,37.413
25625,5.578,5.636,6.151,6.356,6.31,6.883,36.914
25750,5.589,5.814,6.127,6.091,6.606,7.09,37.317
25875,5.715,5.722,6.155,6.061,6.419,6.746,36.818
26000,5.558,5.634,6.08,6.319,6.329,7.036,36.956
26125,5.651,5.427,6.193,6.231,6.407,6.824,36.733
26250,5.487,5.777,6.05,6.091,6.538,7.052,36.995
26375,5.658,5.477,6.131,6.398,6.442,6.689,36.795
26500,5.606,5.658,6.027,6.427,6.419,6.892,37.029
26625,5.419,5.837,6.329,6.19,6.355,7.007,37.137
26750,5.725,5.832,6.218,6.117,6.571,7.083,37.546
26875,5.617,5.794,6.235,6.069,6.518,6.942,37.175
27000,5.742,5.621,6.037,6.258,6.455,6.678,36.791
27125,5.694,5.763,6.112,6.427,6.535,6.839,37.37
27250,5.641,5.535,6.022,6.134,6.374,6.952,36.658
27375,5.439,5.773,6.1,6.239,6.435,6.822,36.808
27500,5.614,5.564,6.279,6.162,6.37,6.851,36.84
27625,5.677,5.616,6.13,6.362,6.541,6.948,37.274
27750,5.497,5.663,6.185,6.124,6.545,6.941,36.955
27875,5.692,5.522,5.97,6.128,6.453,6.868,36.633
28000,5.334,5.75,6.025,6.225,6.338,7.048,36.72
28125,5.463,5.51,6.1,6.262,6.323,7.131,36.789
28250,5.588,5.514,6.209,6.016,6.369,6.884,36.58
28375,5.3,5.655,5.979,6.067,6.773,6.715,36.489
28500,5.625,5.598,6.114,6.121,6.541,6.964,36.963
28625,5.711,5.873,6.299,5.966,6.719,6.859,37.427
28750,5.583,5.567,6.02,6.314,6.432,6.984,36.9
28875,5.566,5.833,6.044,6.22,6.582,6.92,37.165
29000,5.587,5.57,5.933,6.223,6.564,6.768,36.645
29125,5.516,5.576,6.013,6.179,6.399,7.002,36.685
29250,5.509,5.642,6.087,6.24,6.395,6.862,36.735
29375,5.613,5.394,5.952,6.236,6.505,6.923,36.623
29500,5.414,5.494,6.095,6.219,6.291,6.856,36.369
29625,5.527,5.544,6.063,6.283,6.598,7.036,37.051
29750,5.527,5.722,6.274,6.231,6.406,6.93,37.09
29875,5.44,5.453,6.169,6.241,6.394,6.839,36.536
