group1,group2,meandiff,p-adj,lower,upper,reject
17,46,0.0448,0.9971,-0.0485,0.1381,False
17,47,-0.0864,0.1206,-0.1797,0.0068,False
17,48,-0.1513,0.0,-0.2446,-0.058,True
18,19,0.0635,0.761,-0.0298,0.1568,False
18,20,0.003,1.0,-0.0903,0.0963,False
18,21,0.003,1.0,-0.0903,0.0963,False
18,22,0.0571,0.9107,-0.0362,0.1504,False
18,23,-0.1086,0.0046,-0.2019,-0.0153,True
18,24,0.0239,1.0,-0.0694,0.1172,False
18,25,0.0444,0.9976,-0.0489,0.1377,False
18,26,-0.0487,0.9888,-0.142,0.0446,False
18,27,0.0475,0.9924,-0.0458,0.1408,False
18,28,0.0655,0.7009,-0.0278,0.1588,False
18,29,-0.058,0.8945,-0.1513,0.0352,False
18,30,0.0145,1.0,-0.0788,0.1078,False
18,31,0.0064,1.0,-0.0869,0.0997,False
18,32,-0.3949,0.0,-0.4882,-0.3016,True
18,33,-0.0411,0.9994,-0.1344,0.0522,False
18,34,0.0561,0.9272,-0.0372,0.1494,False
18,35,-0.1085,0.0047,-0.2018,-0.0152,True
18,36,0.0181,1.0,-0.0752,0.1114,False
18,37,0.0614,0.8189,-0.0319,0.1547,False
18,38,-0.2345,0.0,-0.3278,-0.1412,True
18,39,0.0088,1.0,-0.0845,0.1021,False
18,40,0.0645,0.733,-0.0288,0.1578,False
18,41,-0.0933,0.0503,-0.1865,0.0,False
18,42,-0.1683,0.0,-0.2616,-0.0751,True
18,43,0.0617,0.8113,-0.0316,0.155,False
18,44,-0.0392,0.9998,-0.1325,0.0541,False
18,45,-0.0588,0.8807,-0.152,0.0345,False
18,46,0.0599,0.8562,-0.0334,0.1532,False
18,47,-0.0714,0.5014,-0.1647,0.0219,False
18,48,-0.1362,0.0,-0.2295,-0.0429,True
19,20,-0.0605,0.8414,-0.1538,0.0328,False
19,21,-0.0606,0.8406,-0.1539,0.0327,False
19,22,-0.0064,1.0,-0.0997,0.0869,False
19,23,-0.1721,0.0,-0.2654,-0.0788,True
19,24,-0.0396,0.9997,-0.1329,0.0537,False
19,25,-0.0192,1.0,-0.1125,0.0741,False
19,26,-0.1122,0.0024,-0.2055,-0.0189,True
19,27,-0.016,1.0,-0.1093,0.0773,False
19,28,0.002,1.0,-0.0913,0.0952,False
19,29,-0.1216,0.0004,-0.2149,-0.0283,True
19,30,-0.0491,0.9875,-0.1423,0.0442,False
19,31,-0.0571,0.9106,-0.1504,0.0361,False
19,32,-0.4584,0.0,-0.5517,-0.3651,True
19,33,-0.1046,0.009,-0.1979,-0.0113,True
19,34,-0.0074,1.0,-0.1007,0.0858,False
19,35,-0.172,0.0,-0.2653,-0.0787,True
19,36,-0.0454,0.9963,-0.1387,0.0479,False
19,37,-0.0021,1.0,-0.0954,0.0912,False
19,38,-0.298,0.0,-0.3913,-0.2048,True
19,39,-0.0547,0.9451,-0.148,0.0385,False
19,40,0.0009,1.0,-0.0924,0.0942,False
19,41,-0.1568,0.0,-0.2501,-0.0635,True
19,42,-0.2319,0.0,-0.3252,-0.1386,True
19,43,-0.0018,1.0,-0.0951,0.0915,False
19,44,-0.1028,0.0121,-0.1961,-0.0095,True
19,45,-0.1223,0.0004,-0.2156,-0.029,True
19,46,-0.0036,1.0,-0.0969,0.0897,False
19,47,-0.1349,0.0,-0.2282,-0.0416,True
19,48,-0.1997,0.0,-0.293,-0.1064,True
20,21,-0.0,1.0,-0.0933,0.0933,False
20,22,0.0541,0.952,-0.0391,0.1474,False
20,23,-0.1116,0.0027,-0.2049,-0.0183,True
20,24,0.0209,1.0,-0.0724,0.1142,False
20,25,0.0414,0.9993,-0.0519,0.1347,False
20,26,-0.0517,0.9736,-0.145,0.0416,False
20,27,0.0445,0.9974,-0.0488,0.1378,False
20,28,0.0625,0.7909,-0.0308,0.1558,False
20,29,-0.061,0.8288,-0.1543,0.0322,False
20,30,0.0115,1.0,-0.0818,0.1048,False
20,31,0.0034,1.0,-0.0899,0.0967,False
20,32,-0.3979,0.0,-0.4912,-0.3046,True
20,33,-0.0441,0.9978,-0.1374,0.0492,False
20,34,0.0531,0.9624,-0.0402,0.1464,False
20,35,-0.1115,0.0028,-0.2048,-0.0182,True
20,36,0.0151,1.0,-0.0782,0.1084,False
20,37,0.0584,0.887,-0.0349,0.1517,False
20,38,-0.2375,0.0,-0.3308,-0.1442,True
20,39,0.0058,1.0,-0.0875,0.0991,False
20,40,0.0615,0.8182,-0.0318,0.1548,False
20,41,-0.0963,0.0329,-0.1895,-0.003,True
20,42,-0.1713,0.0,-0.2646,-0.078,True
20,43,0.0587,0.8812,-0.0346,0.152,False
20,44,-0.0422,0.999,-0.1355,0.0511,False
20,45,-0.0618,0.8107,-0.155,0.0315,False
20,46,0.0569,0.9146,-0.0364,0.1502,False
20,47,-0.0744,0.4023,-0.1677,0.0189,False
20,48,-0.1392,0.0,-0.2325,-0.0459,True
21,22,0.0542,0.9516,-0.0391,0.1475,False
21,23,-0.1115,0.0028,-0.2048,-0.0182,True
21,24,0.021,1.0,-0.0723,0.1143,False
21,25,0.0414,0.9993,-0.0519,0.1347,False
21,26,-0.0517,0.9738,-0.1449,0.0416,False
21,27,0.0445,0.9974,-0.0488,0.1378,False
21,28,0.0625,0.79,-0.0308,0.1558,False
21,29,-0.061,0.8297,-0.1543,0.0323,False
21,30,0.0115,1.0,-0.0818,0.1048,False
21,31,0.0034,1.0,-0.0899,0.0967,False
21,32,-0.3979,0.0,-0.4911,-0.3046,True
21,33,-0.044,0.9979,-0.1373,0.0492,False
21,34,0.0531,0.9621,-0.0402,0.1464,False
21,35,-0.1115,0.0028,-0.2048,-0.0182,True
21,36,0.0151,1.0,-0.0782,0.1084,False
21,37,0.0585,0.8863,-0.0348,0.1518,False
21,38,-0.2375,0.0,-0.3308,-0.1442,True
21,39,0.0058,1.0,-0.0875,0.0991,False
21,40,0.0615,0.8174,-0.0318,0.1548,False
21,41,-0.0962,0.033,-0.1895,-0.0029,True
21,42,-0.1713,0.0,-0.2646,-0.078,True
