version_num,trial,row,has_obstacle,tau_s,r2
6,7,Front,False,22470.861227650683,0.01703536117882809
6,7,Middle,False,80228.04713432833,0.40337830967681143
6,7,Back,False,76390.97866298149,0.6734201946682649
6,8,Front,False,61.27677741370292,0.010382526417761051
6,8,Middle,False,157704.16213475095,0.26191070227744373
6,8,Back,False,133696.11368889376,0.6930240086600039
6,9,Front,False,133488.57116512617,0.2485319138244222
6,9,Middle,False,40.053638572595545,0.21163485442393315
6,9,Back,False,329348.8663127287,0.6159259691423362
6,10,Front,False,161470.23566161684,0.05121913585052407
6,10,Middle,False,138264.24468458496,0.3499248437065763
6,10,Back,False,238526.83757987255,0.7019040275788035
7,1,Front,False,304174.15704307647,0.7681102782922422
7,1,Middle,False,182025.77880841738,0.14322287348200247
7,1,Back,False,456951.72164677124,0.8788308757148081
7,2,Front,False,187475.10507761268,0.7258372666008603
7,2,Middle,False,117245.39894195995,0.2591304306128994
7,2,Back,False,284407.8863571336,0.8653842172278411
7,3,Front,False,82675.54532758574,0.7229051090557732
7,3,Middle,False,1116.5835697683185,0.18030593231848568
7,3,Back,False,165451.1902850819,0.8452946562895314
7,4,Front,False,439079.38061466755,0.7295630740457173
7,4,Middle,False,376076.01601587073,0.13260984986973368
7,4,Back,False,171658.4292874551,0.8545311322758009
7,5,Front,False,84460.0420633292,0.7936039164364211
7,5,Middle,False,180101.01823635015,0.23021697885875514
7,5,Back,False,206642.21807626786,0.8812340626879717
7,6,Front,False,161968.65951192108,0.7618532203277661
7,6,Middle,False,41.91557991177525,0.1279445596896175
7,6,Back,False,390455.05193905864,0.8443571716272641
7,7,Front,False,69923.59508398506,0.7254538694835484
7,7,Middle,False,152.85477771765872,0.30738480410648583
7,7,Back,False,145405.91412154833,0.8969278891505065
7,8,Front,False,87495.5560147591,0.7459294772695744
7,8,Middle,False,114132.9657245307,0.2749711164298928
7,8,Back,False,372696.38693262363,0.8969188357924692
7,9,Front,False,214290.11672426143,0.7077636652870926
7,9,Middle,False,122219.37603455684,0.285700704595245
7,9,Back,False,694976.8401630814,0.8551151334147729
7,10,Front,False,68216.60778438067,0.736000220193969
7,10,Middle,False,185245.18423020147,0.09841882509456013
7,10,Back,False,128749.0769093361,0.860912181097915
8,1,Front,False,7.794886521260744,0.04024146492024583
8,1,Middle,False,130435.13862009178,0.279085046107165
8,1,Back,False,185146.59671196598,0.7171797570948732
8,2,Front,False,13.360863829601897,0.01643388323248407
8,2,Middle,False,110129.88026384979,0.3295034835554751
8,2,Back,False,328.7316214884959,0.7272698544676697
8,3,Front,False,111938.34312149414,0.1173654961642927
8,3,Middle,False,57990.13938156042,0.14508500920947054
8,3,Back,False,631302.2059664952,0.5863854804148878
8,4,Front,False,122790.83990538438,0.07098118379908158
8,4,Middle,False,68613.65119154096,0.2557417315290935
8,4,Back,False,16978.53585388106,0.6091452019681136
8,5,Front,False,0.7308607252142538,0.027359155081447373
8,5,Middle,False,120720.50418038879,0.24900477416646827
8,5,Back,False,108984.7872532045,0.751157001259996
8,6,Front,False,4.257575559333758,0.003978870150253111
8,6,Middle,False,181076.4313977789,0.25848047010217945
8,6,Back,False,149431.10686332395,0.6489870114013968
8,7,Front,False,27.47321800751448,0.03730066544674793
8,7,Middle,False,476721.5694526667,0.38644729972297764
8,7,Back,False,260362.77471156372,0.6816112926010316
8,8,Front,False,7.0113107616323065,0.015914254515350112
8,8,Middle,False,196755.63818654628,0.32911377711034084
8,8,Back,False,100330.34814397349,0.6529644582508438
8,9,Front,False,94779.8109893791,0.0458426281253449
8,9,Middle,False,326458.1321863282,0.1809346286493515
8,9,Back,False,244305.48183593227,0.5663701686107185
8,10,Front,False,259151.000587105,0.09237794985499936
8,10,Middle,False,73932.89025702179,0.11665314625937251
8,10,Back,False,358936.48792157415,0.7263233953400535
9,1,Front,False,237849.41303883863,0.48592474694975973
9,1,Middle,False,73678.25484411298,0.23838279007466878
9,1,Back,False,106558.58899901161,0.8136271884176359
9,2,Front,False,21714.973710396232,0.4305105445954057
9,2,Middle,False,276146.72827959695,0.2642326166512454
9,2,Back,False,396400.03928036115,0.794146750843048
9,3,Front,False,173699.1225974764,0.42632436930474304
9,3,Middle,False,139937.98963503094,0.3158518185601956
9,3,Back,False,141769.20696190174,0.8062417147916403
9,4,Front,False,264585.16742881574,0.5405708403065754
9,4,Middle,False,175633.31592056697,0.10359374075672534
9,4,Back,False,482233.77354899404,0.7878677081220709
9,5,Front,False,125549.72939811695,0.5871774919869692
